Director,Actor/Actress,Movies
John Ford,Ward Bond,"['The Searchers', 'The Quiet Man', '3 Godfathers']"
John Francis Daley,Jonathan Goldstein,"['Dungeons & Dragons: Honor Among Thieves', 'Vacation', 'Game Night', 'Mayday']"
John G. Avildsen,Pat Morita,"['The Karate Kid', 'The Karate Kid Part II', 'The Karate Kid Part III']"
John G. Avildsen,Ralph Macchio,"['The Karate Kid', 'The Karate Kid Part II', 'The Karate Kid Part III']"
John Glen,Roger Moore,"['A View to a Kill', 'For Your Eyes Only', 'Octopussy']"
John Huston,Humphrey Bogart,"['The Maltese Falcon', 'The Treasure of the Sierra Madre', 'The African Queen', 'Key Largo']"
John Krasinski,John Krasinski,"['IF', 'A Quiet Place', 'A Quiet Place Part II']"
John Landis,Dan Aykroyd,"['Trading Places', 'The Blues Brothers', 'Spies Like Us', 'Blues Brothers 2000']"
John Landis,Eddie Murphy,"['Trading Places', 'Coming to America', 'Beverly Hills Cop III']"
John Madden,Tom Wilkinson,"['Shakespeare in Love', 'The Best Exotic Marigold Hotel', 'The Debt']"
John Singleton,Tyrese Gibson,"['2 Fast 2 Furious', 'Four Brothers', 'Baby Boy']"
John Waters,Divine,"['Pink Flamingos', 'Hairspray', 'Female Trouble']"
John Woo,Chow Yun-Fat,"['Lat sau san taam', 'Ying hung boon sik', 'Dip huet seung hung']"
Joko Anwar,Tara Basro,"['Impetigore', ""Satan's Slaves"", 'Pengabdi Setan 2: Communion']"
Jon Favreau,Robert Downey Jr.,"['Iron Man', 'Iron Man 2', 'Chef']"
Jon Lucas,Scott Moore,"['Bad Moms', 'A Bad Moms Christmas', '21 & Over', 'Jexi']"
Jon Turteltaub,Nicolas Cage,"['National Treasure', ""The Sorcerer's Apprentice"", 'National Treasure: Book of Secrets']"
Jon Watts,Tom Holland,"['Spider-Man: No Way Home', 'Spider-Man: Homecoming', 'Spider-Man: Far from Home']"
Jonathan Dayton,Valerie Faris,"['Little Miss Sunshine', 'Ruby Sparks', 'Battle of the Sexes']"
Jonathan Levine,Seth Rogen,"['Long Shot', '50/50', 'The Night Before']"
Joseph Kosinski,Miles Teller,"['Top Gun: Maverick', 'Only the Brave', 'Spiderhead']"
Josh Gordon,Will Speck,"['Blades of Glory', 'Lyle, Lyle, Crocodile', 'The Switch', 'Office Christmas Party']"
Judd Apatow,Leslie Mann,"['Knocked Up', 'This Is 40', 'Funny People']"
Judd Apatow,Paul Rudd,"['The 40 Year Old Virgin', 'Knocked Up', 'This Is 40']"
